Operation,Category,is_mis,is_under,is_over,N_cells,misalign_rate,under_rate,over_rate
collected,App activity,2968,554,2414,6051,0.49049743843992727,0.09155511485704843,0.39894232358287884
collected,App info and performance,2663,908,1755,6051,0.4400925466864981,0.1500578416790613,0.2900347050074368
collected,Audio,955,606,349,6051,0.15782515286729465,0.10014873574615767,0.057676417121137004
collected,Calendar,1470,1391,79,6051,0.24293505205751115,0.22987935878367213,0.013055693273839035
collected,Contacts,2002,1769,233,6051,0.33085440423070567,0.2923483721698893,0.038506032060816396
collected,Device or other IDs,1552,1385,167,6051,0.2564865311518757,0.22888778714262106,0.027598744009254668
collected,Files and docs,1069,532,537,6051,0.17666501404726492,0.0879193521731945,0.0887456618740704
collected,Financial info,2661,2021,640,6051,0.43976202280614773,0.33399438109403407,0.1057676417121137
collected,Health and fitness,868,719,149,6051,0.14344736407205422,0.11882333498595274,0.024624029086101472
collected,Location,3094,2697,397,6051,0.5113204429019996,0.44571145265245415,0.06560899024954553
collected,Messages,2485,2026,459,6051,0.4106759213353165,0.33482069079490995,0.07585523054040655
collected,Personal info,1659,1540,119,6051,0.2741695587506197,0.2545033878697736,0.019666170880846143
collected,Photos and videos,3120,2481,639,6051,0.5156172533465543,0.41001487357461575,0.10560237977193852
collected,Web browsing,1500,1425,75,6051,0.2478929102627665,0.23549826474962815,0.012394645513138325
shared,App activity,2511,1354,1157,6051,0.4149727317798711,0.22376466699719055,0.19120806478268054
shared,App info and performance,2839,1648,1191,6051,0.46917864815732935,0.27235167740869276,0.1968269707486366
shared,Audio,594,524,70,6051,0.09816559246405553,0.08659725665179309,0.011568335812262435
shared,Calendar,974,963,11,6051,0.16096512973062305,0.1591472483886961,0.0018178813419269541
shared,Contacts,1492,1468,24,6051,0.24657081474136505,0.2426045281771608,0.0039662865642042635
shared,Device or other IDs,3334,2951,383,6051,0.5509833085440423,0.48768798545694925,0.06329532308709304
shared,Files and docs,580,469,111,6051,0.09585192530160304,0.07750784994215833,0.01834407535944472
shared,Financial info,2506,2213,293,6051,0.4141464220789952,0.36572467360766814,0.048421748471327054
shared,Health and fitness,696,658,38,6051,0.11502231036192365,0.10874235663526689,0.006279953726656751
shared,Location,3001,2579,422,6051,0.4959510824657081,0.4262105437117832,0.06974053875392497
shared,Messages,926,745,181,6051,0.15303255660221451,0.12312014543050735,0.029912411171707155
shared,Personal info,4359,4212,147,6051,0.7203767972235994,0.6960832920178482,0.024293505205751114
shared,Photos and videos,1651,1438,213,6051,0.2728474632292183,0.23764666997190548,0.03520079325731284
shared,Web browsing,859,838,21,6051,0.1419600066104776,0.13848950586679887,0.0034705007436787306
