Category,count,mean,median,std
wearables,2,0.5638888888888889,0.5638888888888889,0.1139227591911659
communication,8,0.55625,0.5833333333333334,0.09733836600020995
ANDROID_WEAR,5,0.5555555555555556,0.6166666666666667,0.25561593489616313
recipes,2,0.5444444444444444,0.5444444444444444,0.11785113019775796
group planning tools,6,0.512962962962963,0.45555555555555555,0.16754091693594322
edge AI apps,9,0.49074074074074076,0.5777777777777777,0.17719087148685622
home renovation estimator,1,0.4888888888888889,0.4888888888888889,
tools,12,0.488425925925926,0.49722222222222234,0.19813182380284555
video editing suite,2,0.47777777777777786,0.47777777777777786,0.07856742013183866
graphic design studio,3,0.4777777777777777,0.6055555555555555,0.2759383541819476
CRM mobile,8,0.45625,0.5222222222222221,0.14165304945447904
sleep tracker,12,0.4550925925925926,0.41388888888888886,0.14501554414405696
woodworking calculators,6,0.45092592592592595,0.475,0.05915210218931902
remote desktop,31,0.44802867383512546,0.4111111111111111,0.20109038355993417
fitness,14,0.44484126984126987,0.4611111111111111,0.09910483206400388
wellness,9,0.4351851851851852,0.3444444444444444,0.14155769229156562
home,10,0.4344444444444444,0.40555555555555556,0.23555380851902805
learning,7,0.4317460317460317,0.4333333333333333,0.21988853998705046
lead management tools,8,0.43125,0.4138888888888889,0.07906739808007748
EV charging locator,9,0.4308641975308642,0.4555555555555555,0.15358652382869814
videos,6,0.4305555555555556,0.4444444444444444,0.19279458780375486
Personalization,28,0.414484126984127,0.3277777777777777,0.20387949365394417
clinical reference guide,20,0.41194444444444445,0.4555555555555556,0.16927083427050532
live streaming,19,0.4105263157894737,0.4166666666666667,0.11857485259608296
contract template apps,4,0.4097222222222222,0.4083333333333333,0.20124995207422178
AI assistant,27,0.4084362139917696,0.4111111111111111,0.12156359418850866
sports,20,0.40777777777777774,0.3583333333333333,0.1700762356295727
furniture layout planner,10,0.40555555555555556,0.37777777777777777,0.1784708711578779
productivity,17,0.4049019607843137,0.4,0.1907474167031882
PDF tools,22,0.4035353535353536,0.3944444444444445,0.15823045441236452
card games,35,0.40015873015873016,0.3777777777777778,0.17216679328497744
security,10,0.3983333333333333,0.39444444444444443,0.10810913806835216
House and Home,42,0.39814814814814814,0.41944444444444445,0.16255852334465384
composting guides,16,0.3979166666666667,0.3416666666666667,0.2153174993222875
password manager,28,0.39781746031746035,0.4083333333333333,0.16482757119252528
workout,6,0.39351851851851855,0.38888888888888884,0.07717357913737333
neighborhood watch apps,12,0.3912037037037037,0.43333333333333335,0.09919593499931877
web,13,0.38974358974358975,0.3944444444444444,0.22447751582814998
mushroom safety apps,5,0.38777777777777783,0.3666666666666667,0.18935400252332915
smart home,24,0.38680555555555557,0.37222222222222223,0.14258193960247967
healthcare,5,0.38666666666666666,0.3888888888888889,0.13383009312991045
translation tools,4,0.3861111111111112,0.3388888888888889,0.2041997327721012
music,3,0.38518518518518524,0.3555555555555555,0.11403558754326415
stocks,12,0.38518518518518513,0.3583333333333334,0.12854039732650574
photos,14,0.38412698412698415,0.37777777777777777,0.14965704927343854
survival guide apps,15,0.38407407407407407,0.3944444444444445,0.14341616080242242
baking,20,0.3838888888888889,0.4027777777777778,0.14762468436341636
community,25,0.3837777777777778,0.3777777777777778,0.14326369252782722
WATCH_FACE,3,0.38333333333333347,0.3833333333333334,0.0
toll calculator,7,0.38333333333333336,0.4111111111111111,0.20680302152515606
device cleaner,22,0.38333333333333336,0.3833333333333333,0.12973540657879257
messaging,12,0.3814814814814815,0.375,0.14170544791687742
law school outlines,15,0.38074074074074077,0.35,0.2066025103809448
sleep,16,0.3795138888888889,0.3555555555555555,0.15207371439224301
freelance,10,0.3783333333333333,0.34444444444444444,0.1388135598188259
event RSVPs,20,0.37777777777777777,0.3555555555555555,0.155785127171862
Health and Fitness,42,0.3776455026455026,0.36944444444444446,0.13849259503203903
DIY project planner,14,0.376984126984127,0.3666666666666666,0.16045189542292962
vehicle maintenance log,7,0.373015873015873,0.4111111111111111,0.09815313953565352
insurance,29,0.3724137931034483,0.3666666666666667,0.1559694236319103
watch+tv,12,0.3717592592592593,0.33333333333333337,0.17456790222673058
animation software,7,0.37142857142857144,0.3888888888888889,0.1277145000899105
manga drawing tools,15,0.3711111111111111,0.3277777777777778,0.19605006019456553
virtual tours,23,0.3710144927536232,0.35,0.16612670547505393
foraging guides,7,0.37063492063492065,0.4055555555555556,0.1987283203931404
GAME_RACING,21,0.37063492063492065,0.35,0.15373079381337462
doll customization,6,0.3703703703703704,0.32777777777777783,0.19365447997185276
robotics controller,4,0.3694444444444444,0.33333333333333326,0.19592032478166077
banking,11,0.3686868686868687,0.3277777777777778,0.21926184705907587
food,22,0.36843434343434345,0.38611111111111107,0.14324272559241918
virtual pet,28,0.36686507936507934,0.313888888888889,0.1363385782414927
mutual funds analyzer,3,0.3666666666666667,0.35,0.04409585518440978
nutrition,21,0.3664021164021164,0.3611111111111111,0.17028911681002648
marine navigation aids,11,0.36616161616161613,0.3222222222222222,0.10518808977826764
events,19,0.36578947368421055,0.3666666666666667,0.1478383700838492
Medical,43,0.36576227390180877,0.3611111111111111,0.13106497614771695
mobile,21,0.3656084656084656,0.4,0.18879588435514558
entertainment,18,0.36358024691358026,0.3222222222222222,0.13496041839145767
developer tools,21,0.36322751322751323,0.3277777777777778,0.17678085225411702
invoice generator,14,0.3630952380952381,0.32499999999999996,0.12515151582342865
scanner,32,0.3626736111111111,0.3138888888888889,0.18551828427751907
organizer,4,0.3625,0.4,0.17191579669205326
audiobook narrator tools,6,0.3620370370370371,0.36944444444444446,0.10173899471327348
aviation tools,14,0.3619047619047619,0.38055555555555554,0.17626031241991036
talk,15,0.36185185185185187,0.3722222222222222,0.16740401270145205
Maps and Navigation,39,0.36125356125356123,0.35,0.1282250446868198
education technology,34,0.36111111111111116,0.3194444444444444,0.17476936862905607
retro computing tools,9,0.35987654320987655,0.3055555555555556,0.14062190402017968
