Category,Low,Medium,High
ANDROID_WEAR,0.2,0.6,0.2
CRM mobile,0.25,0.75,0.0
EV charging locator,0.2222222222222222,0.7777777777777778,0.0
communication,0.0,1.0,0.0
edge AI apps,0.2222222222222222,0.6666666666666666,0.1111111111111111
fitness,0.14285714285714285,0.8571428571428571,0.0
graphic design studio,0.3333333333333333,0.6666666666666666,0.0
group planning tools,0.0,0.8333333333333334,0.16666666666666666
home,0.2,0.6,0.2
home renovation estimator,0.0,1.0,0.0
lead management tools,0.0,1.0,0.0
learning,0.2857142857142857,0.5714285714285714,0.14285714285714285
recipes,0.0,1.0,0.0
remote desktop,0.22580645161290322,0.6129032258064516,0.16129032258064516
sleep tracker,0.08333333333333333,0.8333333333333334,0.08333333333333333
tools,0.08333333333333333,0.8333333333333334,0.08333333333333333
video editing suite,0.0,1.0,0.0
wearables,0.0,1.0,0.0
wellness,0.1111111111111111,0.8888888888888888,0.0
woodworking calculators,0.0,1.0,0.0
